Attributes,Description,Value Type,Decimal?,Total,Source,
AGE040205D,Resident population total (July 1 - estimate) 2005,ABS,0,295753151,CENSUSPOPEST,
AGE040206D,Resident population total (July 1 - estimate) 2006,ABS,0,298593212,CENSUSPOPEST,
AGE040207D,Resident population total (July 1 - estimate) 2007,ABS,0,301579895,CENSUSPOPEST,
AGE040208D,Resident population total (July 1 - estimate) 2008,ABS,0,304374846,CENSUSPOPEST,
AGE040209D,Resident population total (July 1 - estimate) 2009,ABS,0,307006550,CENSUSPOPEST,
BNK010205D,Commercial banks and savings institutions (FDIC-insured) - number of offices (June 30) 2005,ABS,0,91394,FDIC,
BNK010206D,Commercial banks and savings institutions (FDIC-insured) - number of offices (June 30) 2006,ABS,0,94090,FDIC,
BNK010207D,Commercial banks and savings institutions (FDIC-insured) - number of offices (June 30) 2007,ABS,0,96611,FDIC,
BNK010208D,Commercial banks and savings institutions (FDIC-insured) - number of offices (June 30) 2008,ABS,0,98513,FDIC,
BNK010209D,Commercial banks and savings institutions (FDIC-insured) - number of offices (June 30) 2009,ABS,0,98929,FDIC,
BNK050205D,Commercial banks and savings institutions (FDIC-insured) - total deposits (June 30) 2005,ML$,0,5869879,FDIC,
BNK050206D,Commercial banks and savings institutions (FDIC-insured) - total deposits (June 30) 2006,ML$,0,6376292,FDIC,
BNK050207D,Commercial banks and savings institutions (FDIC-insured) - total deposits (June 30) 2007,ML$,0,6629152,FDIC,
BNK050208D,Commercial banks and savings institutions (FDIC-insured) - total deposits (June 30) 2008,ML$,0,6949449,FDIC,
BNK050209D,Commercial banks and savings institutions (FDIC-insured) - total deposits (June 30) 2009,ML$,0,7486074,FDIC,
BNK110205D,Commercial banks (FDIC-insured) - number of offices (June 30) 2005,ABS,0,77397,FDIC,
BNK110206D,Commercial banks (FDIC-insured) - number of offices (June 30) 2006,ABS,0,79829,FDIC,
BNK110207D,Commercial banks (FDIC-insured) - number of offices (June 30) 2007,ABS,0,82714,FDIC,
BNK110208D,Commercial banks (FDIC-insured) - number of offices (June 30) 2008,ABS,0,84651,FDIC,
BNK110209D,Commercial banks (FDIC-insured) - number of offices (June 30) 2009,ABS,0,87456,FDIC,
BNK150205D,Commercial banks (FDIC-insured) - total deposits (June 30) 2005,ML$,0,4846304,FDIC,
BNK150206D,Commercial banks (FDIC-insured) - total deposits (June 30) 2006,ML$,0,5257406,FDIC,
BNK150207D,Commercial banks (FDIC-insured) - total deposits (June 30) 2007,ML$,0,5464106,FDIC,
BNK150208D,Commercial banks (FDIC-insured) - total deposits (June 30) 2008,ML$,0,5817168,FDIC,
BNK150209D,Commercial banks (FDIC-insured) - total deposits (June 30) 2009,ML$,0,6550051,FDIC,
BPS030205D,"New private housing units authorized by building permits - total 2005 (20,000-place universe)",ABS,0,2155316,CENSUS-CONST,
BPS030206D,"New private housing units authorized by building permits - total 2006 (20,000-place universe)",ABS,0,1838903,CENSUS-CONST,
BPS030207D,"New private housing units authorized by building permits - total 2007 (20,000-place universe)",ABS,0,1398414,CENSUS-CONST,
BPS030208D,"New private housing units authorized by building permits - total 2008 (20,000-place universe)",ABS,0,905359,CENSUS-CONST,
BPS030209D,"New private housing units authorized by building permits - total 2009 (20,000-place universe)",ABS,0,582963,CENSUS-CONST,
BPS130205D,"Valuation of new private housing units authorized by building permits 2005 (20,000-place universe)",TH$,0,329254718,CENSUS-CONST,
BPS130206D,"Valuation of new private housing units authorized by building permits 2006 (20,000-place universe)",TH$,0,291314492,CENSUS-CONST,
BPS130207D,"Valuation of new private housing units authorized by building permits 2007 (20,000-place universe)",TH$,0,225236613,CENSUS-CONST,
BPS130208D,"Valuation of new private housing units authorized by building permits 2008 (20,000-place universe)",TH$,0,141623615,CENSUS-CONST,
BPS130209D,"Valuation of new private housing units authorized by building permits 2009 (20,000-place universe)",TH$,0,95410469,CENSUS-CONST,
BPS230205D,"New private housing units authorized by building permits - single family houses 2005 (20,000-place universe)",ABS,0,1681986,CENSUS-CONST,
BPS230206D,"New private housing units authorized by building permits - single family houses 2006 (20,000-place universe)",ABS,0,1378220,CENSUS-CONST,
BPS230207D,"New private housing units authorized by building permits - single family houses 2007 (20,000-place universe)",ABS,0,979888,CENSUS-CONST,
BPS230208D,"New private housing units authorized by building permits - single family houses 2008 (20,000-place universe)",ABS,0,575554,CENSUS-CONST,
BPS230209D,"New private housing units authorized by building permits - single family houses 2009 (20,000-place universe)",ABS,0,441148,CENSUS-CONST,
BPS830205D,"New private housing units authorized by building permits - in five-or-more family buildings 2005 (20,000-place universe)",ABS,0,389334,CENSUS-CONST,
BPS830206D,"New private housing units authorized by building permits - in five-or-more family buildings 2006 (20,000-place universe)",ABS,0,384079,CENSUS-CONST,
BPS830207D,"New private housing units authorized by building permits - in five-or-more family buildings 2007 (20,000-place universe)",ABS,0,358964,CENSUS-CONST,
BPS830208D,"New private housing units authorized by building permits - in five-or-more family buildings 2008 (20,000-place universe)",ABS,0,295400,CENSUS-CONST,
BPS830209D,"New private housing units authorized by building permits - in five-or-more family buildings 2009 (20,000-place universe)",ABS,0,121125,CENSUS-CONST,
BZA010205D,Private nonfarm establishments 2005,ABS,0,7499702,CENSUS-CBP,
BZA010206D,Private nonfarm establishments 2006,ABS,0,7601160,CENSUS-CBP,
BZA010207D,Private nonfarm establishments 2007,ABS,0,7705018,CENSUS-CBP,
BZA010208D,Private nonfarm establishments 2008,ABS,0,7601169,CENSUS-CBP,
BZA010209D,Private nonfarm establishments 2009,ABS,0,7433465,CENSUS-CBP,
BZA110205D,"Private nonfarm employment for pay period including March 12, 2005",ABS,0,116317003,CENSUS-CBP,
BZA110206D,"Private nonfarm employment for pay period including March 12, 2006",ABS,0,119917165,CENSUS-CBP,
